message_id,content,positive_RA1,category_RA1,positive_RA2,category_RA2,AGREED,CAT_AGREED,positive_db,positive_sm,category_db,category_sm,vote_resolved,category_resolved,final_vote,final_category,final_category_standardized
hB7Gsc6kuQf9YUcNfn2VDS2AlDkw=ApJ5b4+DTG55YqO,"Hi Curtis, we have reviewed your pitch deck for Perksouq. While it is a unique concept, it is not a good fit for our current investment portfolio.",0,portfolio conflict,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
6JgTpCE6=PWrCcJsMQM46SSjMrrXR-laAwT-37nDEVOu,Not now but interested to get informed about next round!,1,updates,1,updates,1,1,,,,,,,1,updates,updates
I6K39NV7g8jhli4+HCuxpHtkkHjwmHG=Zhp4oKZFcdCE,"Thanks for sharing your pitch deck with me. While I don't have the bandwidth to invest right now, I would love to stay updated on your progress. Could you add me to your newsletter or mailing list?",1,updates,1,updates,1,1,,,,,,,1,updates,updates
oj4sXHZ+DOSU992eIKv130cDl2VItUseTJYkx6fsnfzA,STOP,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
tAPjz-=VOOf2XnCOtuKYnrBLPsIT7GGh2ljY65gvAXAU,"Hi, Thanks for reaching out.  [FIRM] is currently not making new commitments to early stage companies.  I have launched a later stage fund called [FIRM] that may be right for your business as you reach $10M in annual revenues, so please keep that in mind as you grow. Hope to be in touch in the future.",0,stage,1,updates,0,0,1,0,updates,stage,1,updates,1,updates,updates
V5r08MWg+KBJkPHlputbH7po6vVZ5wSQLXzCiXaaG=Ki,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
XUuS1CKRSBwzV6rfW+gXsOyyrGN0tINVF9yDwUDI+-Ny,"Hey Curtis, thanks for reaching out! We're excited to learn more about your business. To help us get a better understanding of your company's story, could you send us a short video introducing yourself and your team? You can use any platform you prefer, just make sure to share the link with us.",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
TMTf-uyYO+AGrniE6Riv4CBEino5ty-3euO1K3xj-gnY,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
4fC5VmpbBKxmYZcknQeE3Xg3KZ9wmYn00JGVDU55vY9R,"Thanks Curtis, where is the company based?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
4tAfZQJYbwc-wGIU98IdO7w1tn6nGS2T6lhxFS-c8vD6,"Your pitch deck looks promising, and I'm intrigued by your business model. I'd love to learn more about your startup and how we can work together. When are you available for a call?",1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
8F+5FOHejYcLPC=2KQdMONoppRTe8zaT+5ti+a7FpKWn,Where are you located?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
WTgGz+0fSN0WeNzet3Scobz730NYYiTKu7HKl04hbcnn,not interested,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
JLZBmnyTXIulxE+zGwAjgyfJ42vLoF9KjfoDyLGd6W0s,Hi Curtis. I would be available the week after next to discuss. Lets lock in a date. I am travelling this week and responses will be delayed.,1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
w0VJCytm47pCFxu=Rij1NwJZ9tFJeCgtaicHiOB4Ehk3,"Thank you for sharing your pitch deck with us. While we found your concept interesting, we regret to inform you that we do not invest in companies in your sector. We typically invest in sectors that align with our current investment focus, and unfortunately, your industry is not one of them.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
HB4cOUk-Vf5+ioQNX7Q=AsmEc+Su9PzeOC2ayxstOYTX,Thank you for your interest in [FIRM]. Please complete our online application form at [URL] so we can learn more about your business and assess if we're the right fit for each other. We appreciate your consideration and look forward to hearing from you soon.,1,formal application,1,formal application,1,1,,,,,,,1,formal application,formal application
nC-bB-20cO5Jev-11tTJN4-V5pgG-d5E9Z-L1k9XOOu0,UNSUBSCRIBE,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
AP7inU9uNHtagKqWbD6CeQ5a07Cs9ZdX+VBwbxY+gP8U,What big Five? What Ivy? Cant find information on that in the deck,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
VA3pqzF1nAqMDtolA6oeuwz5zgm2kE99DdQxIYO10TEI,"We appreciate the opportunity, but we don't believe the current funding requirements align with our investment strategy.",0,portfolio conflict,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
uDM-1SHEftUNDRc9Udd7yNho3tWlRJSOZndPeF9+hDQM," No thanks, best of luck",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
uTH5ulA5gXJw9tXSid660I-0g62QVoX5PYnBs-K9KGYj,"Hi Curtis, thank you for your pitch. While Perksouq sounds like an interesting startup, it is not a good fit for our current investment portfolio.",0,portfolio conflict,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
mqh6P0LXl8v77PywYpkqEua0uTIcfL-KiHVW5pQMYKin,"Hi Curtis, Thanks for reaching out - not one for me I'm afraid, please remove me from your list. I wish you all the best with your product.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
XIr88R0VmG44m1e4HKqWesIS2NUmdofMTYldf-04uejN,Talk to [NAME] -- happy to introduce,1,referral,1,referral,1,1,,,,,,,1,referral,referral
RMmDw3+AY6wvbss2H7Rm=7pI3kssH33tiXGCeSgkIYT-,We're looking for startups with a proven team in place.,0,stage,0,stage,1,1,,,,,,,0,stage,stage
x3WahfxU0Eg5yzFH+UpTh=DRIJ7OWzsCDug-AHbqMNY3,Where are you based?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
6jQYW-3t5INNDbyhqGSDXXsky2A50mtIth6e0s-Kzs4C,"Thanks for sharing your pitch deck with me. While I'm not in a position to invest right now, I'm definitely interested in hearing more about your progress in the future. Keep me posted!",1,updates,1,updates,1,1,,,,,,,1,updates,updates
4fH8DtPygJe+WOBf5opmvZPYkorjk1Ax5qF8FfaX0QE+,"We appreciate the enthusiasm of your pitch, but it is not within our current geographic focus.",0,geography,0,stage,1,0,,,,,,geography,0,geography,geography
IpVrhuiJfjN8GQIuz6qCC9Q2fex4l4RTWPeOOjQkJQuz,Unsubscribe,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
ctcnrUB0q=0jQ0VPg1tiVSVI1VHZ9caqLtCSz8F3V+iW,Thank you for your email. We would like to schedule a call with one of our analysts to further review your company and in order to understand whether your investment fits into our fund thesis. When would you be availble this week?,1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
ok9IZoLUEAxKNIiVRIEvuDIp0R3c+XX3j7ko+o6Cpx3P, Thanks Curtis. Not interested at the moment.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
yB4tXBbjuTXx+jd=l2G45VVU5edO10FsH7pP3qVlLQqe,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
RGeDerdfiN+xoNZrthzutLjX9306l4aD2hAyD7bVGR1Y,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
zDl68qPDSh05CpSZF2g4PU7oZSO3l3512tj5cs7UNMIF,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
CFDOsO7OAftDRwL+jdDELqZrH2-jYW+WEKjuUOnhFmbo,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
ThgDAvmfNOk2JX0gG5inVg+R8=FpNJKR62ZMA3-3Yyzj,"Hi Curtis. Thanks for reaching out. As you can imagine, we receive lots of applications for investment and after careful consideration, we will be unable to invest. We wish you the best in growing a successful business",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
20Wn9r7J14OcFZue1XSujPGGH2iV4jxJtYKUptoq5OA-,"Hi we've received your email and we're not interested in any of the services you've described. We didn't see an unsubscribe link, could you please remove us from all of your database (all emails ending with polymail.io) Our last resort is to block/report the email as spam in Gmail, which could affect deliverability in the future.",0,industry,0,no specific reason,1,0,,,,,,other,0,other,other
rFjKw0nn55ZO4B6+zeNC1rT0GB8a49ttyW9TQW6xhBn,I am not an investor,0,no investments,0,no investments,1,1,,,,,,,0,no investments,no investments
jS1-Iykkik6h5PJ-q-rPdkzQ0tluoxtp-kFS4ZJgdn=u,Hey - thanks! Looks good but too early,0,stage,0,stage,1,1,,,,,,,0,stage,stage
yZJPSbe2Yrs+vkP05zPcKgE3cP01SJcxh--v6KfXra83,"Dear Curtis Parsons, I am looking forward to an introductory call to learn more about PerkSouq. Please have a look on the link below to schedule a slot. [URL]",1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
La4C0-uaSlECfZBEKF6=Wv=8ct-mmNIbnK3pCz4blVKR,too early for us,0,stage,0,stage,1,1,,,,,,,0,stage,stage
aIefimawKt=M-ycPjygaT6YkQCYuTDQz23QzlMJBdLam,"Hi Curtis, Thanks so much for reaching out to [FIRM]. To ensure that we review all the startup pitches that we receive in a timely manner, we ask all founders to please submit their information through our Google form here: [URL]",1,click on link (full deck),1,formal application,1,0,,,,,,formal application,1,formal application,formal application
jXVspG8dQdlZflNnodnw7D6wVX0AvA=dYs+calsKgRn7,"Hi there, thank you for sharing your pitch with me. I'm intrigued and would love to set up a call or meeting to learn more about your startup. What's your availability like next week?",1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
UR2lZSJFQSMDxDdlFcAuguMrD9QlNPmu4oTp41UnoQ79,"Thank you for sharing your pitch deck with us. After careful consideration, we have determined that we are not the right investor for your company. Our fund specializes in investing in specific sectors, and unfortunately, your industry is not one of them.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
9E6xrgzrQpbkf258gU8H+UQTZm00IqVDy-iarhk1Guyz,"Hi Curtis, Thank you for previewing this opportunity.  This is outside of our current investment priorities/stage focus, and as such we will pass on exploring.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
jOHI-Ckbpxqzk8gad0YNDLU=iGW1INoqMKoa2ZBrCu1t,While I appreciate your efforts and enthusiasm,0,no specific reason,0,stage,1,0,,,,,,no specific reason,0,no specific reason,no specific reason
Rt1OeO6mvHqra4RENMDkCidj6uhtmiy1rvpaWJZ=u6NH,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
XDseWNeD-k=dMme9+9T9faVyHCCXUozv9T+Q4Tns7aig,"Hello, I am impressed with the concept you've shared in your pitch. Can you provide me with the complete pitch deck so I can gain a better understanding of your vision?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
DU-4eN3vU+8Mx5SOr61-uHKKfwFq3mylXthJ39iSlfrL,Unsubscribe,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
AnDLGdsOlJs5-vRdU0Udi5iRKYHp1I9pK9yMbOve+eV3,"We appreciate your effort in sending your pitch deck, but unfortunately, your company's sector is not a vertical that we invest in at this time. Our fund is focused on investing in specific industries that we believe will yield a better return for our investors.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
Mj+slBXN-eiEcKAjaym7-WN9oPDsHW9pe-X8LMRHeAiw,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
19KN4EcgnyI7IsSRvKUG=T2mgK-lOFkRgnF+rbSxXsKT,Curtis. How does your server architecture and cloud infrastructure look like?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
zODT4gZLLb19epQmYOEd6F0p2dL0mK6DZz3kUGZ59jSp,"Curtis, I am currently in between funds.  Thank you for reaching out though.  Good luck with your raise!",0,no investments,0,no investments,1,1,,,,,,,0,no investments,no investments
ezivbhuhbBmzg3DB0RFWOwMGdMBYsn+2BmejFEPNK1CH,"Thank you for sharing your pitch deck with me. While it's not quite the right fit for me, I have a friend who may be interested in learning more about your business. I'll make an introduction and CC you on the email so you can continue the conversation if you're interested.",1,referral,1,referral,1,1,,,,,,,1,referral,referral
AjC5TNNhrwqSZD24oNK+=1V9Xjf+nL67V0Y8c8cLzKWk,"Thanks for reaching out, but I'm personally not interested.  I recommend checking out [URL] if you're seeking a seed round. They're investing in about 25 companies per year and I could make an intro.",1,referral,1,referral,1,1,,,,,,,1,referral,referral
MdVsdHY3FFzwsXzJqnQm6d24EzfLUW7ZWTJlGwMeBmp3,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
54EQhOyFEr1ebJEsmGjucrX-IXU+m4QMT5L1WSiMCN6d,Thanks but no thanks.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
VnSjDbC6XujQ7KLf0o2RjPfEkmAZnpVrY5dht+bVYfPe,"Hi - Thanks for reaching out regarding the investment opportunity. We've had the chance to review internally from our side and unfortunately we will need to pass at this time. We pride ourselves on being highly engaged investors, and the team didn't feel there was a good fit in regards to our ability to be value-additive investors with the company at this juncture. We wish you all the best in building the business.",0,stage,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
itSchLTJ=RPWfB8WDAsHCw7EKveOu9S8RZxHi3Vbvi9Q,"Thanks for reaching out, but I'm not interested. Please remove me from your mailing list.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
2mv48a06gZpgkPkJtu7nz2XcQ3R1ZpKvMgrDOvegl==6,"Hi there, thanks for sharing your pitch deck with me. I am interested in learning more about your business. Could you please share the full pitch deck with me?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
xqtTjaYTftq7+FtXjnZnt9w5JjR4KowwMeDAOXX-C-hZ,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
q0gjhYwjBzrGwr=YBErg-Wqp-mOcRz-SGtTw3iKC3kv9,"We appreciate your passion, but we're looking for companies that have already validated their concept.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
wFl2L2FcegpgD1r-cEPWTG=4SBv62tcHborQVc6u6BJC,"Greetings from [FIRM]! Thanks for contacting us. We've had a chance to review the proposal, but unfortunately, it doesn't fit our investment criteria currently.",0,portfolio conflict,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
1VWvwgwabb0tCjWekLUGiUVul3h2GqgTKTN28qIR5896,Hard no.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
Z2OiF6d3JTLiPdiDz=gYEXD2C=yX8WXrKXjkRXG1hDr-,"We appreciate your pitch, but we're not focused on investing in companies in your sector due to market dynamics.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
q4JMHv1uQ0faD-vnm=Byl038iBXdGj4e+2Gd8ezRa=+F,"Sounds like a good idea. Can you share more?  How did you come to contact me?  BTW, I'm not bothered by contacts regarding good projects like this one, but network credibility is useful.",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
uiA74HCLAez24CHNZdg4TuupnqUpol1ai74YkWZw1NuT,Not my style.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
PJuSuZjqJuzc=WlAbMIch5hVsoN5bllQSSwWEmqcYI+-,"Not interested, sorry.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
WhU=M6lXmxe7kSUx6lkhC63mSEREk03bLcrEMgWrAQwW,"Hi Curtis, I'm not taking up new investments at this time.",0,no investments,0,no investments,1,1,,,,,,,0,no investments,no investments
Sg6MJxlXKUZokg=YhPilcA8YZUFGJA=O2E-hX2xLHDpL,"Sorry, doesnt sound like a good fit",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
eKQ90QpuLlNdvHf+7TRddJnFWKIiPQgbDArTk8KeMBgV,"Thank you for submitting your pitch. However, we cannot invest in startups outside of our geographic area.",0,geography,0,stage,1,0,,,,,,geography,0,geography,geography
3uVfa3-+ClRKKKtEOMQEdMdbJNOYmUjFapeLp1Cj9i7s,"While we think your idea has potential, we're not currently investing in companies in your vertical.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
yP1u6O2SbzA484rVSA4c3TPfFbeIFFfij++Qbj812PLd,"Hi Curtis, I like the concept of your employee perks platform and think there's definitely a need for it in the market. However, I noticed that you didn't include any information about your pricing model in your pitch deck. Can you provide more details on how you plan to charge customers for using your platform?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
WhCCZQK2=70Z5j+hOElH6O2Q3REMmCPFq9rBsC4ny34Y,"Hi, I'm excited about the potential of your business. Can you please send me your full pitch deck and any other relevant documents, including financial projections and technical specifications?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
lUa1HHGIjgt9yb7mdGb3lsEaLT1JNJsKae0I0e8fK9mr,"Hello Curtis. Thank you for getting in touch with us, I hope you are very well. Thank you also for thinking of us! Please submit your deck to our dedicated Partnerships team on [EMAIL] who'll best be able to help with this enquiry.",1,formal application,1,more info/clarification,1,0,,,,,,formal application,1,formal application,formal application
75Sb1RoHF6bgKVIdkzgPEvJNzEbXSzdohM3VgHyKuGuI,No thank you,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
V-Oi+4oi1ZPyV4wFaU-XdHUEAl1s8GJFMEd-uMi=mX85,"Unfortunately, we're not currently investing in companies in your vertical for strategic reasons.",0,other,0,industry,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
bSqMcbbbAAhyWT9FWuebFIjnmxeiagn5PTD4A9-EwqyS,Unsubscribe me.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
q8ARKpHJch3NPAzZ=zGQ4EatQ8bRmDwM26BDz14PAXXE,maybe later,0,stage,0,no specific reason,1,0,,,,,,no specific reason,0,no specific reason,no specific reason
QV=dViTTQV3kCs3mYSN1=0xv8lXn+wwAXLG68fb+lUHf,"Dear Curtis, we have reviewed your pitch deck for Perksouq. While it is an interesting concept, it does not align with our current investment strategy.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
h-mqCSe0pInzye2BeYXQMYGKEQThaKnF6oVNv946KVtx,"We are sorry to be unable to invest in your venture, as it is not within our current geographic focus.",0,geography,0,stage,1,0,,,,,,geography,0,geography,geography
nJwQS4iNex+sw4CuAiJzhuT7QCwwSFy5S79vg8DTQr0p,Please remove me from mailing list. Thanks.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
b8y4ngsgnNRFPl=Eer60H9KOeBdLIrq=R2zGCsPLV+VV,STOP,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
uWSjuf2gNOGz9+e-GdZ8cI3S31fR55W8DMFU0e2bg4my,"Thanks, but no thanks.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
i=XHS+ZxRaoaNfzfn2rFhdBSLhOyU3euK1B5DbgZLUqz,"No thank you, please remove me from your mailing list.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
pLCSEBIdxK2tqY5M7MK+r7M-0qm7anHsG8X7=fiEUb9k,"No, thanks.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
5I3E5-eeozUJhCLee0fh9xw+fYRqN=UOfoyiBalASDKU,"We appreciate the time and effort you put into your pitch deck. However, we do not invest in companies in your sector due to regulatory challenges and complexities that we are not well-equipped to handle at this time.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
tiDdeo189aPqi8ozUr7rwf9mEMWcXARBb5qGtbFaJ1wH,"Hi there, I'm excited about the potential of your startup and would love to schedule a meeting to learn more. What's the best way to connect with you and what times work for you?",1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
Bht8BJV+8ghAMPedmw7rH=yuJ5Fo=qQIIcfEl4ZSfcXe,"We are sorry to turn down your pitch, as it does sound promising, but our investments are only available for startups in our current geographic region.",0,geography,0,stage,1,0,,,,,,geography,0,geography,geography
haA7MSILzovQT2O1MAYsef+Ackrq0tVKmIiApq8dxtuI,"We appreciate the opportunity to review your startup idea, but we do not see a fit with our current investment focus.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
R3++IoJMChKln=w1YHjgw0ZOhrv3zcIpgq0BQX74ZcWv,"A bit too early for [FIRM], but would love to hear again from you for the next round!",0,stage,1,updates,0,0,1,1,updates,updates,1,updates,1,updates,updates
ulliNv4Q34I2fFz6yOjiPDr0jVDbzNRmoZPViUdOFQXN,We regret to inform you that your venture does not fit our geographic focus and we are unable to invest.,0,geography,0,stage,1,0,,,,,,geography,0,geography,geography
16tFUFACdvMxvu00=NgrcE-0esP+pFQW+Auwx7ypWiO,"Unfortunately, we don't invest in startups at such an early stage.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
IeP2y0j-XXarrF8uTk=1=qS8Ow3bd1UCKvI9RuuUZ8CU,where did you get my email?,1,more info/clarification,0,no specific reason,0,0,0,0,no specific reason,no specific reason,0,no specific reason,0,no specific reason,no specific reason
p377FKQIBLoTDw+G7SkpAS4Bbn546=48RExHiLdNJ96G,"Dear Curtis, we appreciate your interest in our firm. Unfortunately, we do not see a fit between Perksouq and our investment thesis.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
p=YbG8io7QB8lfNAZ+g6VJ11sVHms8N9Bktf4-OeFmPu,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
jFW6dIZZiysB8-1Ox4RtBa8tmDKHHu84ujpQbDVGLY-V,"After reviewing your startup and the pitch deck you have provided, we have decided not to invest in very early pre-seed stage companies right now.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
hlAA6k9GXsxiJO2h9Jru6MAwijxDMgHCliHDtA4fd=7p,"Thank you for presenting your venture to us. However, our investments are limited to startups within our geographic region.",0,geography,0,geography,1,1,,,,,,,0,geography,geography
AI1sIgE0Dhhx4QRU2qRSL2bpCi3MiVPRIDio-tYAx8Iq,stop,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
gd3IZVTroWMpS1=j5nFI-GHUMlMka5tiWqu=3Cr0tadF,Thanks for reaching out Curtis. Let me review and get back to you.,1,other,0,no specific reason,0,0,0,0,no specific reason,no specific reason,0,no specific reason,0,no specific reason,no specific reason
6Q7Aexqf6byDPsuENDqXDxPA0p=sLNAR+0HtkNysHPGn,Pass this time.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
gggSEpPTRU=45eorM84+-H1VL3HctSQi7lWSMFmj8lwO,We are sorry to inform you that we cannot invest in your venture at this time. Our geographic focus is mainly limited to our current region.,0,geography,0,geography,1,1,,,,,,,0,geography,geography
VOvG-bopO6qf4-oDCcUxn-tsStbO-vQJ7=yaFY=Hw7-h,"Thanks for reaching out! Sounds good. Are you interested in being considered for our next batch of investments at [FIRM]? Let us know, and [NAME] (cc'd) can share next steps.",1,referral,1,more info/clarification,1,0,,,,,,more info/clarification,1,more info/clarification,more info/clarification
c63X3FdwDWF-CFEqap3bj1z3TsCUhZlDN+P2DVi2ipNl,"Hey Curtis, This kind of thing is up my alley as an investor, but Im focusing on my own business right now. I wish you good luck in raising your seed round",0,no investments,0,no investments,1,1,,,,,,,0,no investments,no investments
aZUg2nYRi6DlfQxKaqrluhkKmjWEf=MQOw9IV2e+82c6,Do you have a pitch video recording?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
